Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
Supersport Live Events,Eastern Cape,Male,White,35-44,Thursday,Weekday,Afternoon,1,1,1612,26.87,1612,1612,1612,1,0,0
Channel O,Limpopo,Male,Black,35-44,Thursday,Weekday,Morning,1,1,87,1.45,87,87,87,0,1,0
M-Net,Western Cape,Male,Coloured,45-54,Saturday,Weekend,Late Night,1,1,9,0.15,9,9,9,0,0,1
Africa Magic,Eastern Cape,Male,Indian_asian,Under 18,Sunday,Weekend,Afternoon,1,1,14,0.23,14,14,14,0,0,1
Africa Magic,North West,Female,Black,25-34,Monday,Weekday,Prime Time,1,1,1867,31.12,1867,1867,1867,1,0,0
Supersport Live Events,Gauteng,Male,Indian_asian,25-34,Wednesday,Weekday,Late Night,1,1,22,0.37,22,22,22,0,0,1
Cartoon Network,North West,Male,Black,25-34,Friday,Weekday,Afternoon,1,1,41,0.68,41,41,41,0,1,0
Africa Magic,Gauteng,Female,Black,35-44,Monday,Weekday,Late Night,1,1,256,4.27,256,256,256,1,0,0
SuperSport Blitz,Mpumalanga,Male,White,35-44,Monday,Weekday,Morning,1,1,168,2.8,168,168,168,1,0,0
Vuzu,Western Cape,Male,Coloured,45-54,Sunday,Weekend,Night,1,1,23,0.38,23,23,23,0,0,1
Supersport Live Events,KwaZulu-Natal,Male,Coloured,35-44,Friday,Weekday,Prime Time,1,1,184,3.07,184,184,184,1,0,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Unknown,25-34,Saturday,Weekend,Prime Time,1,1,298,4.97,298,298,298,1,0,0
Cartoon Network,Gauteng,Male,Coloured,18-24,Saturday,Weekend,Afternoon,1,1,2813,46.88,2813,2813,2813,1,0,0
Supersport Live Events,KwaZulu-Natal,Male,Indian_asian,18-24,Sunday,Weekend,Afternoon,1,1,102,1.7,102,102,102,0,1,0
E! Entertainment,Gauteng,Male,White,25-34,Saturday,Weekend,Prime Time,1,1,86,1.43,86,86,86,0,1,0
Supersport Live Events,Western Cape,Male,Unknown,45-54,Friday,Weekday,Afternoon,1,1,22,0.37,22,22,22,0,0,1
Boomerang,KwaZulu-Natal,Female,Coloured,25-34,Monday,Weekday,Morning,1,1,63,1.05,63,63,63,0,1,0
SuperSport Blitz,Eastern Cape,Male,White,Under 18,Tuesday,Weekday,Afternoon,1,1,110,1.83,110,110,110,0,1,0
Trace TV,Limpopo,Male,Black,25-34,Thursday,Weekday,Prime Time,1,1,306,5.1,306,306,306,1,0,0
Cartoon Network,Gauteng,Male,White,25-34,Wednesday,Weekday,Afternoon,1,1,8,0.13,8,8,8,0,0,1
